Назва,Стан,Категорія,Місцезнаходження,Переможець,"Номер лота","Стартова ціна","Ціна продажу"
"Добровільний продаж. Станина фрезерного верстата ФС-1","Реєстрація учасників",Обладнання,"Закарпатська обл.",,493153,2576.00,
"Нежилі приміщення з № 1 по № 24, № 1 групи приміщень № 57, загальною площею 498,4 кв.м., що знаходиться за адресою: м. Київ, вул. Волгоградська, будинок 21А","Торги зупинено","Нежитлове приміщення",м.Київ,,470967,1235800.00,
"Добровільний продаж. Транспортний засіб марки ГАЗ, модель: 2705-14 (грузовий), 2005 року випуску, номер кузову: Х9627050050410689, ДНЗ: АО0162ВМ","Реєстрація учасників","Вантажні автомобілі","Закарпатська обл.",,493158,12880.00,
"Екскаватор колісний: ЕО 2622В, 1987 р.в., зеленого кольору, ДНЗ: 4706ВЧ, VIN: 533903","Торги відбулися",Спецтехніка,"Луганська обл.","Учасник №5",490956,23175.00,23175.00
"Вантажний автомобіль: ГАЗ 52СПГ (фургон), 1988 р.в., синього кольору, ДНЗ: ВВ1198АВ, VIN: 520100J1075284","Торги відбулися","Вантажні автомобілі","Луганська обл.","Учасник №7",490946,11550.00,12600.00
"Транспортний засіб марки  ГАЗ, державний номер АА8057СЕ, модель 2705, вантажний, рік випуску 2006, VIN/код X9627050060482717, номер кузова: 27050060257706, колір білий","Торги відбулися","Вантажні автомобілі",м.Київ,"Учасник №4",490634,31505.00,31505.00
"Земельна ділянка для колективного садівництва, для ведення садівництва, пл. 0,0529 га, кад. ном. 4623686600:05:000:0701, за адресою: Львівська обл., Пустомитівський р., Солонківська сільська рада, садове товариство ""Ватра""","Торги відбулися","Земельні ділянки","Львівська обл.","Учасник №1",490059,155805.00,155805.00
"Добровільний продаж. Верстат для точіння баласин (нетиповий)","Реєстрація учасників",Обладнання,"Закарпатська обл.",,493168,1610.00,
"Транспортний засіб IDEAL CH 7111B, 2008 р.в., ДНЗ: ВЕ3180ВІ, номер кузову: LKCAA2AC68H823931","Реєстрація учасників","Легкові автомобілі","Одеська обл.",,493307,19950.00,
"Легковий автомобіль DАЕWОО-FSО LANOS TF69Y, ДНЗ АР7466ВЕ, сірого кольору, 2008 р.в., кузов (шасі, рама) № SUPTF69YD8W397362 (Y6DTF69YD8W397362)","Торги відбулися","Легкові автомобілі","Запорізька обл.","Учасник №37",489299,34472.40,48950.78
"Легковий автомобіль DАЕWОО-FSО LANOS TF69Y, 2008 р.в., ДНЗ АР7464ВЕ, сірого кольору, кузов (шасі, рама) № SUPTF69YD8W397999 (Y6D TF69YD8W397999)","Торги відбулися","Легкові автомобілі","Запорізька обл.","Учасник №18",489295,34472.40,70668.35
"Мобільний телефон марки «ZTE», модель BLADE V7, сірого кольору, б/в, 1 од.","Реєстрація учасників","Мобільні телефони","Донецька обл.",,493309,125.00,
"Причіп бортовий МАЗ 9380, 1992 року випуску, ДНЗ ВТ9408ХХ, номер шасі (кузова, рами): 677","Реєстрація учасників",Причепи,"Херсонська обл.",,493308,35850.00,
"ІПОТЕКА. Двокімнатна квартира, загальною площею 34,0 кв.м., за адресою: м. Запоріжжя, вул. Лермонтова, буд. 21 Б, кв. 16 А","Торги відбулися","Житлова нерухомість","Запорізька обл.","Учасник №2",489183,372530.20,400004.00
"Нежиле приміщення, столярний цех загальною площею 515,7 м.кв., що знаходиться за адресою: Хмельницька область, Кам'янець-Подільський район, с.Кам'янка, вул.Леніна 1 ""а""/ 5","Торги відбулися",Будівлі,"Хмельницька обл.","Учасник №5",489182,195966.00,262600.00
"Добровільний продаж. Кабіна Урал (4320)","Реєстрація учасників",Запчастини/аксесуари,"Закарпатська обл.",,493167,1610.00,
"Трактор Т-150К, красного кольору, 1994 р.в., ДНЗ: Т2967ДЦ, VIN: 576617","Торги відбулися",Спецтехніка,"Донецька обл.","Учасник №3",489150,27884.25,30333.00
"Автомобіль DAEWOO NEXIA, державний номерний знак АХ3205ВВ, номер кузова XWB3L31UD7A246435, 2007 року випуску","Реєстрація учасників","Легкові автомобілі","Харківська обл.",,493312,15600.00,
"Транспортний засіб марки JAGUAR модель F-PACE, 2016 року випуску, № шасі SADCA2BN2HA079180, об’єм двигуна 1999, колір - коричневий, державний реєстраційний номер АА6888МО","Торги відбулися","Легкові автомобілі",м.Київ,"Учасник №34",488023,677350.00,801500.00
"ІПОТЕКА. Житловий будинок загальною площею 379.2 кв.м., та земельна ділянка загальною площею 0.250 га, К/Н: 5121882000:07:001:0063, за адресою: Одеська обл., Іванівський р., с. Богунове, вул. Центральна (кол. - вул. Леніна), буд. 20 В, земельна ділянка 20В","Торги відбулися","Житлова нерухомість","Одеська обл.","Учасник №4",487164,182059.50,196777.77
"½ частина трикімнатної квартири загальною площею 65.4 кв.м. за адресою: Дніпропетровська область, місто Дніпро, житловий масив Тополя-1, будинок 15, корп. 3, квартира 167","Торги відбулися","Житлова нерухомість","Дніпропетровська обл.","Учасник №1",486001,120000.00,120000.00
"Добровільний продаж. Шкантонарізний верстат Loser AA200","Реєстрація учасників",Обладнання,"Закарпатська обл.",,493182,2576.00,
"Комп’ютер (моноблок) марки «Apple», модель «А2115», серійний номер СО2ZL2KLJV3N EMC-3194 в комплекті з безпровідним маніпулятором-мишею марки «Apple» модель «А1657» та клавіатурою марки «Apple» модель «A1843», б/у","Торги відбулися",Комп'ютери,"Вінницька обл.","Учасник №1",485637,27300.00,31395.00
"Добровільний продаж. Корпус заднього моста на Урал","Реєстрація учасників",Запчастини/аксесуари,"Закарпатська обл.",,493173,1449.00,
"Вугільна продукція марки Ж: крупністю 0-100 мм, загальною вагою: 121 тон, за адресою: Донецька обл., м. Родинське, ДП «Вугільна компанія «Краснолиманська»","Реєстрація учасників",Вугілля,"Донецька обл.",,493311,186703.00,
"Мобільний телефон Xiaomi Redmi 3, б/в, сірого кольору","Торги відбулися","Мобільні телефони",м.Київ,"Учасник №5",466483,650.00,650.00
"Добровільний продаж. Корпус заднього моста на Урал","Реєстрація учасників",Запчастини/аксесуари,"Закарпатська обл.",,493177,1449.00,
"Автомобіль марки SKODA, модель FABIA, 2013 року випуску, тип - легковий хетчбек - В, реєстраційний номер АЕ1532НК, колір сірий, VIN: TMBEH15JXEB500779","Реєстрація учасників","Легкові автомобілі","Дніпропетровська обл.",,492868,141700.00,
"Добровільний продаж. Оптикошліфувальний верстат 395м1","Реєстрація учасників",Обладнання,"Закарпатська обл.",,493186,3220.00,
"Телевізор SAMSUNG у кількості 1 шт","Реєстрація учасників",Телевізори,"Одеська обл.",,492700,560.00,
"Добровільний продаж. Корпус заднього моста на Урал на причіп","Реєстрація учасників",Запчастини/аксесуари,"Закарпатська обл.",,493179,1352.40,
"Обігрівач електричний у кількості 1 шт ","Реєстрація учасників","Кліматична  техніка","Одеська обл.",,492735,560.00,
"Обігрівач електричний у кількості 1 шт","Реєстрація учасників","Кліматична  техніка","Одеська обл.",,492736,560.00,
"Добровільний продаж. Шпонозшивочний верстат KUPER FM 1200E","Реєстрація учасників",Обладнання,"Закарпатська обл.",,493210,12880.00,
"Добровільний продаж. Рама від причіпа тракторного ПСЕ-Ф-12,5А","Реєстрація учасників",Запчастини/аксесуари,"Закарпатська обл.",,493187,966.00,
"Металевий бак, зеленого кольору без кришки, у кількості 1 штука","Реєстрація учасників",Інше,"Запорізька обл.",,493233,1248.98,
"ІПОТЕКА: будівля друкарні загальною площею 332,7 кв.м., за адресою: Донецька область, смт Велика Новосілка, пр-т. Гагаріна, 22","Торги зупинено",Будівлі,"Донецька обл.",,487846,280000.00,
"Обігрівач електричний у кількості 1 шт","Реєстрація учасників","Кліматична  техніка","Одеська обл.",,492738,560.00,
"ІПОТЕКА. Готельний комплекс «Барський маєток», заг. пл.1209,35 м2. (адреса 1); земельні ділянки: пл.0,3642 га, КН:2124881200:10:010:0004 (адреса 2); пл.0,1273 га, КН:2124881200:10:010:0003 (адреса 3); пл.0,124 га, КН:2124881200:10:010:0002 (адреса 4)","Реєстрація учасників","Комерційна нерухомість","Львівська обл.",,493317,7518080.00,
"Добровільний продаж. Пили дискові ф180х2, 8х70 z18 DKN 145, в кількості 31 шт","Реєстрація учасників",Інструменти,"Закарпатська обл.",,493230,4392.08,
"Прихожа з тумбочкою та дзеркалом та кут меблевий коричневого кольору, б/у","Реєстрація учасників",Меблі,"Житомирська обл.",,493006,1500.00,
"Добровільний продаж. Вісь тракторного причіпа","Реєстрація учасників",Запчастини/аксесуари,"Закарпатська обл.",,493221,515.20,
"Автомобіль ЗИЛ 4415, 1986 року випуску, VIN:2264946/4300, номер шасі: 2457840, синього кольору, ДНЗ 9283ВИМ","Реєстрація учасників","Вантажні автомобілі","Вінницька обл.",,493289,29130.00,
"Добровільний продаж. Двигун на ГАЗ-66","Реєстрація учасників",Запчастини/аксесуари,"Закарпатська обл.",,493231,1932.00,
"Причіп бортовий ГКБ 817, 1988 року випуску, VIN:2265157/4300, номер шасі: 265427, зеленого кольору, ДНЗ 5602ВИ","Реєстрація учасників",Причепи,"Вінницька обл.",,493291,15630.00,
"Автомобіль ЗИЛ 4415, 1986 року випуску, VIN:2265436/4300, номер шасі: 28884946, синього кольору, ДНЗ 1605ВИР","Реєстрація учасників","Вантажні автомобілі","Вінницька обл.",,493310,29130.00,
"Автомобіль ЗИЛ 4415, 1986 року випуску, VIN:2265349/4300, номер шасі: 2881116, синього кольору, ДНЗ 1259ВИР","Реєстрація учасників","Вантажні автомобілі","Вінницька обл.",,493313,29130.00,
"Добровільний продаж. Фільтрувальна установка ЗИЛ-900","Реєстрація учасників",Обладнання,"Закарпатська обл.",,493235,2576.00,
"Іпотека. Житловий будинок незавершеного будівництва (готовність 84%) площею 213.90 кв.м. та земельна ділянка площею 0.1674 га, К/Н 3221283205:03:002:0030, що знаходяться за адресою: Київська обл., Броварський р-н, с. Перемога, вул. Гайдамацька, 212","Реєстрація учасників",Недобудована,м.Київ,,493169,1165885.00,
"Добровільний продаж. Ролик для сушки СУР-4, в  кількості 104 шт","Реєстрація учасників",Інше,"Закарпатська обл.",,493240,13395.00,
"Добровільний продаж. Апарат для розливу олії","Реєстрація учасників",Обладнання,"Закарпатська обл.",,493238,2898.00,
"Житловий будинок загальною площею 43,2 кв.м., за адресою: Полтавська обл., Лубенський р-н., с. Піски- Удайські, вул. Заяма, буд. 7","Реєстрація учасників","Житлова нерухомість","Полтавська обл.",,493323,11050.00,
"Добровільний продаж. Бензопила ""ХУСКВАРНА-365"" в кількості 80 шт (неробочі)","Реєстрація учасників",Інструменти,"Закарпатська обл.",,493242,23184.00,
"Цистерна металева у кількості 1 штука","Реєстрація учасників",Інше,"Запорізька обл.",,493216,1120.00,
"ІПОТЕКА. Двокімнатна квартира загальною площею 30,7 кв.м., за адресою: Запорізька область, Василівський район, м. Василівка, вул. Спортивна, буд. 8, кв. 16","Реєстрація учасників","Житлова нерухомість","Запорізька обл.",,493324,181293.00,
"ІПОТЕКА: Нежитлові будівлі: літ. ""А-1"", загальною площею 322,8 кв.м., літ. ""Б-1"" загальною площею 161,4 кв.м., адреса: Харківська обл., м. Харків, вулиця Шаумяна, будинок 62-А","Реєстрація учасників",Будівлі,"Харківська обл.",,493319,623400.00,
"Добровільний продаж. Вузли та матеріали до сушильної камери пиломатеріалів на 80 м3","Реєстрація учасників",Обладнання,"Закарпатська обл.",,493248,21065.24,
"Житловий будинок з надвірними будівлями та спорудами, загальною площею 57,5 кв.м., та земельна ділянка площею 0,06 га., к/н № 6110100000:03:005:0041,  що знаходяться за адесою: Тернопільська обл., м. Тернопіль, вул. Бродівська, 20","Реєстрація учасників","Житлова нерухомість","Тернопільська обл.",,493322,263420.00,
"ІПОТЕКА: Житловий будинок літ. А-1, заг. пл. 161,10 кв.м. та зем. ділянка, пл. 0,1 га, КН: 6325151000:00:035:0042, адреса:Харківська обл., Харківський р-н., м. Південне, вул. Фрунзе, 12","Реєстрація учасників","Житлова нерухомість","Харківська обл.",,493325,450800.00,
"Добровільний продаж. 1/2 та 1/2 частки домоволодіння загальною площею 82,6 кв.м, що розташоване за адресою: Рівненська обл., Дубровицький р-н., с. Удрицьк, вул. Молодіжна, 10","Реєстрація учасників","Житлова нерухомість",м.Київ,,493335,128000.00,
"ІПОТЕКА: Житловий будинок з надвірними будівлями, загальною площею 81,3 кв.м., адреса: Харківська обл., м. Харків, в'їзд Євгена Плужника (колишня назва Руднєва), буд. № 5","Реєстрація учасників","Житлова нерухомість","Харківська обл.",,493314,112500.00,
"Шафа, кольору деревини на один відділ, з двома дверима","Реєстрація учасників",Меблі,"Полтавська обл.",,493190,988.00,
"Добровільний продаж.  Нежитлове приміщення, загальною площею 47,3 кв.м, яке знаходиться за адресою: Дніпропетровська обл., м. Марганець, вул. Київська, буд. 135","Реєстрація учасників","Нежитлове приміщення",м.Київ,,493331,413326.92,
"Автоматична стрічка з освітленням для переробки грецького горіху із завантажуючим бункером, Саморобний підйомний механізм (грузовий), Промисловий горіхокол, Вібросито-калібратор “VSC-4N”, заводський номер 96 та Аспіраційна устанока ВУ-3200","Реєстрація учасників",Обладнання,"Одеська обл.",,492176,179300.00,
"Добровільний продаж. Нежитлове приміщення загальною площею 30,5 кв.м, що знаходиться за адресою: Дніпропетровська обл., м. Павлоград, вул. Заводська, буд. 41/47","Реєстрація учасників","Нежитлове приміщення",м.Київ,,493332,401584.72,
"Автомобіль ЗИЛ 4415, 1986 року випуску, VIN:2265435/4300, номер шасі: 2884947, синього кольору, ДНЗ 1604ВИР","Реєстрація учасників","Вантажні автомобілі","Вінницька обл.",,493316,29130.00,
"Іпотека. Чотирикімнатна квартира, заг. пл. 109,00 м.кв., за адресою: Львівська обл., м. Львів, вул. Літня, буд. 6, кв. 1","Торги зупинено","Житлова нерухомість","Львівська обл.",,490271,3004454.00,
"Добровільний продаж. Нежитлове приміщення заг. пл. 248,3 кв.м, що знаходиться за адресою: Івано-Франківська обл., Калуський р-н, м. Калуш, вул. Підвальна, буд. 2б","Реєстрація учасників","Нежитлове приміщення",м.Київ,,493340,1982896.00,
"Автомобіль Merсedes-Benz VITO 115CDI, 2005 року випуску, сірого кольору, № кузова WDF63960313145955, ДНЗ АВ4622ВО","Торги зупинено","Легкові автомобілі","Вінницька обл.",,352342,101491.50,
"Мультифункціональний пристрій марки HP Laser Jet Pro MFP M 227 sdn (Serial No. VNC 4509009), світло-сірого кольору, б/в - 1 шт.","Очікування сплати",Оргтехніка,м.Київ,"Учасник №1",490097,2500.00,3501.00
"Предмет іпотеки. Житловий будинок, загальною площею 68,3 кв.м., що знаходиться за адресою: Черкаська область, м. Чигирин, вул. П. Комуни, 202","Реєстрація учасників","Житлова нерухомість","Черкаська обл.",,492791,166700.00,
"Шприци у кількості 4300 шт.; льодяники «Вокасепт» у кількості 193 уп.; 3% розчин перекису водню у кількості 120 шт.; препарат «Тайлол фен Хот» у кількості 50 шт; вата медична у кількості 50 шт.; бинти марлеві - 997 шт.","Торги зупинено","Аукціон із різнотипних товарів","Харківська обл.",,490689,19510.83,
"Міні-камера з маркувальним позначенням  «1080Р 12 М Full HD» із флеш картою Kingston об’ємом 16Gb","Торги не відбулися","Аксесуари та інше","Волинська обл.",,488010,401.00,0.00
"Пиломатеріали різних порід загальною кубомасою 19,57 м3","Торги не відбулися",Сировина,"Львівська обл.",,482624,39545.00,0.00
"Дверні полотна та дверні коробки на загальну кількість 820шт.","Реєстрація учасників","Будівельні матеріали","Житомирська обл.",,492390,250000.00,
"1/2 частина домоволодіння  загальною площею 43,1  кв.м., житловою площею 26,8  кв. м., та  земельна ділянка КН : 1210100000:04:126:0024, площ.,0,0345 га., за адресою : м. Дніпро, вул.  Кузбаська буд. 6","Торги припинено","Житлова нерухомість","Дніпропетровська обл.",,491994,156910.00,
"Добровільний продаж. Житловий будинок, загальною площею 629,50 кв.м, та чотири земельні ділянки загальною площею 0,9475 га, яка знаходиться за адресою: Дніпропетровська обл., Петриківський р-н, смт Курилівка, провулок Сосновий, буд. 10","Реєстрація учасників","Житлова нерухомість",м.Київ,,493330,3234008.00,
"Вантажний автомобіль: КРАЗ 65055-02 (самоскид), 2011 р.в., ДНЗ: АН6729НХ, жовтого кольору, VIN: Y7A650550B0814224","Очікування сплати","Вантажні автомобілі","Донецька обл.","Учасник №18",478543,205271.50,299696.39
"Автомобіль  DAF  FT XF 105.410, спеціалізований  вантажний сідловий тягач – E, 2007 року випуску, жовтого кольору, ДНЗ АВ0991СК, номер кузова: XLRTE47MSOE755733","Реєстрація учасників","Вантажні автомобілі","Вінницька обл.",,492607,258800.00,
"Вантажний автомобіль: КАМАЗ 5410 (тягач), 1985 р. в., ДНЗ: ВВ6090АІ, VIN: 541013500785","Очікування сплати","Вантажні автомобілі","Луганська обл.","Учасник №21",448991,28365.00,40000.00
"Частка в статутному капіталі ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КРАМАЛЛ-МОНОЛІТ"", ЄДРПОУ 25661961, розмір 25,0%","Реєстрація учасників",Інше,м.Київ,,492955,4785.35,
"Мобільний телефон торгової марки «Telit» сірого кольору з батареєю живлення","Торги відбулися","Мобільні телефони","Хмельницька обл.","Учасник №1",491719,2.00,2.00
"Корпус 533а-нежитлова будівля-гаражі, що становить 5/100 ідеальних часток управління корпусу №416, загальною площею 243,6 кв.м.,  що знаходиться за адресою: Івано-Франківська обл., м. Калуш, вул. Промислова, буд. 8 ","Реєстрація учасників",Будівлі,"Івано-Франківська обл.",,493343,250800.00,
"Морозильна камера ТМ «Снайге» ","Торги відбулися","Велика побутова техніка","Черкаська обл.","Учасник №2",491447,750.00,750.00
"Двокімнатна квартира , загальною площею 48,7 кв.м., за адресою: м. Одеса, вул. Варненська, буд. 1, кв. 29","Торги відбулися","Житлова нерухомість","Одеська обл.","Учасник №1",490861,556935.30,556935.30
"Меблевий кухонний гарнітур, що складається з трьох підвісних та чотирьох напільних тумб синього та коричневого кольору, мийки нержавіючої, електричної плити Hotpoint ariston, витяжки коричневої EMLEYUS та шафи двох дверної коричневого кольору, б/у","Реєстрація учасників",Меблі,"Житомирська обл.",,493007,3900.00,
"Транспортний засіб, малотонажний фургон ИЖ, модель 27175-036,2007 року випуску, ДНЗ: ВТ5653ВА, номер кузову: XWK27175070012971","Торги відбулися","Легкові автомобілі","Херсонська обл.","Учасник №4",490505,2800.00,3640.00
"Мобільний телефон ""Nokia"", мобільний телефон «Моторола» та флеш карта об’ємом 2ГБ","Торги відбулися","Мобільні телефони","Хмельницька обл.","Учасник №1",490299,32.50,32.50
"Причіп тракторний 2ПТС-4, 2017 року випуску, ДНЗ 27148СВ, № кузова 193","Торги відбулися",Причепи,"Чернігівська обл.","Учасник №5",489962,79650.00,79650.00
"Легковий автомобіль марки VOLKSWAGEN модель PASSAT, 2005 р.в., д.з. АЕ3997АР VIN: WVWZZZ3BZ5E095239","Торги відбулися","Легкові автомобілі","Дніпропетровська обл.","Учасник №18",489590,115700.00,115700.00
"Комп’ютерний стіл з стелажем та тумба навісна, світло коричневого кольору, б/в","Реєстрація учасників",Меблі,"Житомирська обл.",,493014,1400.00,
"ІПОТЕКА. Земельна ділянка №205, площею 0,1200 га, кадастровий номер: 3221884400:07:139:0205, що розташована за адресою: Київська обл., Вишгородський р-н , Литвинівська с/рада, СТ ""Ландшафт""","Торги відбулися","Земельні ділянки","Київська обл.","Учасник №4",489284,25452.00,25452.00
"Двокімнатна квартира, загальною площею 53,2 кв.м., за адресою: Дніпропетровська область, м. Дніпро, пр. Героїв, буд. 6, кв. 66","Торги відбулися","Житлова нерухомість","Дніпропетровська обл.","Учасник №3",486362,649400.00,727329.00
"1/3 частина трикімнатної квартири, загальною площею 58,0 кв.м., за адресою:  Дніпропетровська область, м. Дніпро, пр. Героїв, буд. 15, кв. 44","Торги відбулися","Житлова нерухомість","Дніпропетровська обл.","Учасник №1",487115,183414.00,183414.00
"Легковий автомобіль RENAULT DUSTER, ДНЗ ВІ1161СН, 2016 року випуску, білого кольору, номер шасі (кузова, рами) VF1HSRADG56580480","Торги відбулися","Легкові автомобілі","Полтавська обл.","Учасник №14",489473,223200.00,236700.00
"1/3 частина квартири № 110, загальною площею 45.1 кв.м., що розташована за адресою : м. Київ, вул. Мінський проспект (Мінське шосе ), будинок № 12","Реєстрація учасників","Житлова нерухомість",м.Київ,,492636,368729.00,
"Праска comfort 200 PHILIPS, б/у","Реєстрація учасників","Мала побутова техніка","Житомирська обл.",,493053,100.00,
"Крісло, б/у","Реєстрація учасників",Меблі,"Житомирська обл.",,493060,200.00,
"Телевізор JVC, б/у","Реєстрація учасників",Телевізори,"Житомирська обл.",,493140,300.00,
"Металева шафа SHAEER SHOP","Реєстрація учасників",Меблі,"Полтавська обл.",,493329,2535.00,
"Розкладний диван червоного кольору, б/у","Реєстрація учасників",Меблі,"Житомирська обл.",,493015,700.00,
"Добровільний продаж. Земельна ділянка загальною площею 14 га (КН: 3222485900:03:004:0032), що знаходиться за адресою: Київська область, Києво-Святошинський район, Петропавлівсько-Борщагівська сільська рада, село Чайки","Торги відбулися","Земельні ділянки",м.Київ,"Учасник №6",485519,74744000.00,76238880.00
"Добровільний продаж. Комплекс, загальною площею 11519,1 кв.м. з технічним оснащенням за адресою: Чернігівська обл., м. Чернігів, вул. М. Небаби (Боженко), 106, 106-а","Торги відбулися","Промислова нерухомість",м.Київ,"Учасник №11",485709,12268205.37,21550000.00
"Обігрівач ALESA, б/у","Реєстрація учасників","Кліматична  техніка","Житомирська обл.",,493054,300.00,
"Холодильник рефрежиратор «Техно-Холод», модель ПВХСН 11875 СОНАТА, серійний номер 1512106, 2008 року випуску","Реєстрація учасників","Велика побутова техніка","Полтавська обл.",,493229,16051.00,
"Електробойлер «Еталон», б/у","Реєстрація учасників","Велика побутова техніка","Житомирська обл.",,493145,1250.00,
"Земельна ділянка, загальною площею 3.6915 га, кадастровий номер: 3222782300:12:001:0021, що розташована за адресою: Забуянівська сільська рада, Макарівського району, Київської області","Торги зупинено","Земельні ділянки","Київська обл.","Учасник №14",478124,93000.00,179490.00
"Тумба під телевізор, б/у","Реєстрація учасників",Меблі,"Житомирська обл.",,493061,400.00,
"Шафа три дверна з дзеркалом, коричневого кольору, б/у","Реєстрація учасників",Меблі,"Житомирська обл.",,493156,1500.00,
"Крісло офісне сірого кольору, б/у","Реєстрація учасників",Меблі,"Житомирська обл.",,493159,400.00,
"Гладильна доска, б/у","Реєстрація учасників",Інше,"Житомирська обл.",,493170,100.00,
"Килим червоно-сірого кольору, б/у","Реєстрація учасників",Декор,"Житомирська обл.",,493178,500.00,
"Однокімнатна квартира, загальною площею 33,6 кв.м, за адресою: м. Київ, проспект Оболонський, буд. 12, кв. 214","Торги припинено","Житлова нерухомість",м.Київ,"Учасник №8",490630,810900.00,860000.00
"1/2 частина двокімнатної квартири, загальною площею 47 кв.м, за адресою: м. Київ, вул. Січових Стрільців, буд. 53, кв. 29","Торги припинено","Житлова нерухомість",м.Київ,,492621,668850.00,
"1/2 частина двокімнатної квартири, загальною площею 47 кв.м, за адресою: м. Київ, вул. Січових Стрільців, буд. 53, кв. 29","Торги припинено","Житлова нерухомість",м.Київ,,492627,668850.00,
"ДВД плеєр, PHILIPS, б/у","Реєстрація учасників","ТВ, Фото, Відео, Аудіо","Житомирська обл.",,493184,230.00,
"Обладнання майнового комплексу у кількості 74 одиниць, в тому числі газопровід довжиною 1298,45 м., що знаходиться за адресою: м.Харків, вул. Киргизька, 19","Торги зупинено",Обладнання,м.Київ,,491453,7353245.00,
"Тумбочки рожевого кольору для ванної кімнати,  в кількості 2 шт. б/у","Реєстрація учасників",Меблі,"Житомирська обл.",,493165,700.00,
"Шафа чотирьох дверна, коричневого кольору, б/у","Реєстрація учасників",Меблі,"Житомирська обл.",,493202,1900.00,
"Музичний центр та дві колонки LG, б/у","Реєстрація учасників",Аудіотехніка,"Житомирська обл.",,493144,500.00,
"ІПОТЕКА. Трикімнатна квартира загальною площею 67.76 кв.м., за адресою: Кіровоградська обл., м. Кропивницький, вул. Волкова, буд. 16, корп. 2, кв. 65","Реєстрація учасників","Житлова нерухомість","Кіровоградська обл.",,493123,775100.00,
"42/1000 частини нежитлових будівель загальною площею 2012,3 м.кв., за адресою: м. Одеса, вул. Маловського, буд. 3-а","Реєстрація учасників",Будівлі,"Одеська обл.",,492241,834000.00,
"Трактор колісний марки ХТЗ-242К, 2016 року випуску, ДНЗ 30376ВН, заводський номер 6429","Торги зупинено",Сільгосптехніка,"Одеська обл.","Учасник №4",477424,608033.00,997174.12
"Дощовальна машина BEINLICH жовтого кольору","Торги зупинено",Обладнання,"Одеська обл.",,491589,152074.00,
"Транспортний засіб LADA 212140, 2016 року випуску, ДНЗ ВН1678НН, номер кузову: XTA212140Н2272010","Торги зупинено","Легкові автомобілі","Одеська обл.",,481940,157686.00,
"Сівалка GRAIN-FERTILIZER DRILL, SZ-5.4 А-06, SPECIFICATION: 29.3-05784437-164:2005, серійний номер: 158, 2015 року виготовлення, червоного кольору","Торги зупинено",Сільгосптехніка,"Одеська обл.",,481941,136562.25,
"Сівалка універсальна, пневматична ""УПС-8.02"", ТУ У-29.3-05784437-255:2005, заводський номер: 209-4, червоного кольору","Торги зупинено",Сільгосптехніка,"Одеська обл.",,491581,51458.50,
"Сівалка універсальна, пневматична ""УПС-8.02"", ТУ У-29.3-05784437-255:2005, червоного кольору, 2016 року виготовлення, заводський номер: не встановлено","Торги зупинено",Сільгосптехніка,"Одеська обл.",,491585,51458.50,
"Сівалка універсальна червоного кольору, серійний номер: б/н, рік виготовлення не встановлено","Торги зупинено",Сільгосптехніка,"Одеська обл.",,491587,51458.50,
"Трактор колісний JOHN DEERE 6190R, реєстраційний номер 34412ВС, 2012 року випуску, заводський номер 1L06190RVCN725666, двигун №CD6068R003477","Реєстрація учасників",Спецтехніка,"Львівська обл.",,493019,1630154.81,
"ІПОТЕКА. Садовий будинок з господарчими будівлями загальною площею 106.6 кв.м. та земельна ділянка площею 0.061 га, кадастровий номер: 5123782000:02:001:0498, за адресою: Одеська обл., Овідіопольський р., с. Молодіжне, ""Лиман"", СК, вул. Озерна, буд. 44","Реєстрація учасників","Житлова нерухомість","Одеська обл.",,477978,838899.00,
"ІПОТЕКА. 1/2 частина двокімнатної квартири загальною площею 44.27 кв.м. за адресою: Полтавська обл., м. Кременчук, вул. Ігоря Сердюка, буд. 7, кв. 44","Торги зупинено","Житлова нерухомість","Полтавська обл.",,490235,145650.00,
"Стіл розкладний дерев'яний у кількості 1 шт","Реєстрація учасників",Меблі,"Одеська обл.",,492693,240.00,
"Стіл коричневого кольору ширина 0,65 м., довжина 1,5 м., б/у","Реєстрація учасників",Меблі,"Херсонська обл.",,493206,1350.00,
"ІПОТЕКА. Нерухоме майно - піонерський табір «Сокіл», загальною площею 1979,2 кв.м., за адресою: Київська область, місто Ірпінь, вулиця Давидчука (стара назва вулиці – Комінтерна), будинок 63","Торги зупинено",Будівлі,м.Київ,"Учасник №14",487297,3443860.00,87164096.60
"Предмет іпотеки. Будівлі та споруди, загальна площа 550,80 м2 та земельна ділянка, кадастровий номер: 7321055100:01:002:1371, площа 0,0712 га, адреса: Чернівецька обл., Глибоцький р., смт. Глибока, вул. Хотинська 9е","Підписання протоколу",Будівлі,"Чернівецька обл.","Учасник №3",490021,656121.60,656121.60
"Предмет іпотеки. Земельна ділянка, площа 0,1170 га кадастровий № 7321082700:01:006:0157 та земельна ділянка, площа 0,2500 га, кадастровий № 7321082700:01:006:0156, адреса: Чернівецька обл., Чернівецький р-н., с. Коровія","Підписання протоколу","Земельні ділянки","Чернівецька обл.","Учасник №1",490027,508200.00,508200.00
